timestamp	commit	metric	status	description
2026-09-06T22:21:27+09:00	942fb12	bench:seed=26,planner=rrt_connect,success=1,plan_ms=22.04,iterations=15,checks=8314,path_len=4.312	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=27,planner=rrt_connect,success=1,plan_ms=56.26,iterations=46,checks=8676,path_len=7.757	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=28,planner=rrt_connect,success=1,plan_ms=43.16,iterations=29,checks=8955,path_len=6.955	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=29,planner=rrt_connect,success=1,plan_ms=15.41,iterations=1,checks=9055,path_len=4.017	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=30,planner=rrt_connect,success=1,plan_ms=33.03,iterations=35,checks=9275,path_len=4.939	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=31,planner=rrt_connect,success=1,plan_ms=14.02,iterations=1,checks=9365,path_len=4.296	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=32,planner=rrt_connect,success=1,plan_ms=7.33,iterations=1,checks=9412,path_len=2.546	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=33,planner=rrt_connect,success=1,plan_ms=12.28,iterations=1,checks=9488,path_len=3.614	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=34,planner=rrt_connect,success=1,plan_ms=14.51,iterations=1,checks=9578,path_len=4.320	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=35,planner=rrt_connect,success=1,plan_ms=166.08,iterations=188,checks=10647,path_len=8.685	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=36,planner=rrt_connect,success=1,plan_ms=17.42,iterations=13,checks=10764,path_len=4.243	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=37,planner=rrt_connect,success=1,plan_ms=102.37,iterations=104,checks=11425,path_len=5.249	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=38,planner=rrt_connect,success=1,plan_ms=75.02,iterations=75,checks=11917,path_len=8.364	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=39,planner=rrt_connect,success=1,plan_ms=9.28,iterations=1,checks=11977,path_len=3.281	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=40,planner=rrt_connect,success=1,plan_ms=139.60,iterations=208,checks=12849,path_len=6.139	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=41,planner=rrt_connect,success=1,plan_ms=15.40,iterations=4,checks=12947,path_len=4.725	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=42,planner=rrt_connect,success=1,plan_ms=165.62,iterations=201,checks=14008,path_len=11.552	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=43,planner=rrt_connect,success=1,plan_ms=153.86,iterations=170,checks=14984,path_len=7.461	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=44,planner=rrt_connect,success=1,plan_ms=22.77,iterations=18,checks=15131,path_len=4.530	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=45,planner=rrt_connect,success=1,plan_ms=8.34,iterations=1,checks=15183,path_len=2.419	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=46,planner=rrt_connect,success=1,plan_ms=12.52,iterations=4,checks=15263,path_len=3.207	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=47,planner=rrt_connect,success=1,plan_ms=22.44,iterations=8,checks=15403,path_len=4.647	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=48,planner=rrt_connect,success=1,plan_ms=5.86,iterations=1,checks=15440,path_len=2.048	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:27+09:00	942fb12	bench:seed=49,planner=rrt_connect,success=1,plan_ms=106.10,iterations=115,checks=16126,path_len=10.441	keep	MP-0031: RRT-Connect, narrow_passage 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:35+09:00	942fb12	bench:seed=0,planner=rrt_connect,success=1,plan_ms=45.17,iterations=41,checks=288,path_len=5.522	keep	MP-0031: RRT-Connect, cluttered 배치 (seed 0-49, RRT*와 비교용)
2026-09-06T22:21:35+09:00	942fb12	bench:seed=1,planner=rrt_connect,success=1,plan_ms=42.32,iterations=35,checks=563,path_len=6.388	keep	MP-0031: RRT-Connect, cluttered 배치 (seed 0-49, RRT*와 비교용)
